claim_amount,premium_amount,policy_age,repeat_claims,fraud_flag
16799.54,33191.45,239,1,0
5483.46,8506.47,457,0,0
38352.27,24207.76,5,5,1
17867.45,56734.75,916,1,0
5268.57,46293.04,174,2,0
85093.33,68343.25,6,5,1
3204.38,13274.93,359,0,0
10518.21,98374.92,71,1,0
38170.22,78547.32,104,0,0
28344.03,59776.22,688,0,0
7297.07,29982.3,583,1,0
5456.2,21868.87,84,0,0
30554.08,98727.28,319,1,0
52316.45,84434.67,126,1,0
28434.19,44292.82,504,1,0
41008.25,81653.69,151,1,0
17834.99,86038.9,608,1,0
22255.25,57139.18,899,2,0
155049.35,87256.31,3,4,1
87152.24,44892.07,7,4,1
15016.87,36812.48,348,0,0
98449.46,52835.46,6,4,1
12260.62,6700.07,5,6,1
39906.76,60882.72,157,0,0
51234.25,81239.09,890,1,0
20502.55,34712.66,366,0,0
52490.24,99790.98,344,1,0
10254.46,20979.0,143,1,0
20773.11,38363.47,783,0,0
7491.63,17375.64,102,1,0
41956.94,78061.58,865,2,0
29682.9,70410.98,43,0,0
24174.84,52124.67,743,1,0
142664.97,92083.51,7,3,1
27842.36,55568.03,888,1,0
28345.33,88642.73,823,2,0
19696.93,42099.96,799,0,0
15630.08,40915.25,336,1,0
30122.97,79626.44,801,1,0
32404.38,92802.61,569,0,0
6949.46,21099.65,656,1,0
6873.13,16454.85,782,0,0
1409.78,10710.7,334,2,0
19847.27,13972.83,5,4,1
39661.4,33325.64,3,3,1
112306.61,66203.93,9,5,1
7395.44,64997.44,624,0,0
38539.72,99417.38,612,1,0
44332.23,69134.71,791,1,0
141001.07,91029.93,9,3,1
11782.41,24964.62,109,0,0
59485.95,47861.85,9,4,1
52841.75,78918.57,416,2,0
33181.4,48316.85,264,2,0
10004.85,20296.42,283,0,0
14478.57,64059.79,207,2,0
5723.18,8935.82,904,0,0
86691.17,55864.2,10,4,1
54411.96,48793.2,7,5,1
57108.06,94754.44,108,0,0
54784.43,98217.53,662,2,0
39923.79,74830.71,774,2,0
13337.61,24156.25,555,2,0
113641.03,62133.72,3,3,1
80854.77,43889.63,4,6,1
55773.86,95791.34,720,2,0
3301.19,21103.96,469,0,0
50023.96,41031.68,9,5,1
125045.89,79209.81,1,5,1
14366.52,70363.35,548,0,0
36102.44,51992.78,744,0,0
23333.9,90694.53,579,2,0
17514.95,30295.26,586,2,0
16013.63,78783.51,248,2,0
34992.74,87172.33,141,0,0
8813.23,44058.74,497,1,0
3436.9,33490.04,980,2,0
7793.55,70543.49,296,0,0
7439.68,62328.61,63,1,0
72306.26,47762.77,4,5,1
75328.43,72148.27,4,3,1
4751.04,47147.07,73,1,0
19614.96,89863.95,806,0,0
100978.33,78632.86,4,3,1
149419.05,95391.21,3,3,1
31974.18,56002.75,40,0,0
13880.49,31844.77,297,2,0
55416.86,51461.49,10,6,1
16863.35,30531.08,525,1,0
26628.24,17565.03,9,4,1
39891.71,83533.56,928,1,0
43603.43,92797.31,786,1,0
9346.3,54458.81,369,1,0
7488.82,57266.16,447,2,0
43824.27,97903.46,917,2,0
23767.58,12334.88,7,4,1
1238.88,9845.66,831,2,0
23174.76,76537.05,719,0,0
5358.85,14613.54,660,1,0
15961.22,26097.57,115,0,0
12354.37,77927.58,186,2,0
71586.94,60579.16,10,4,1
30846.34,45998.68,457,0,0
14075.86,90649.13,713,1,0
23160.8,85144.63,442,0,0
109371.03,83224.89,8,3,1
6018.22,9838.02,476,0,0
36241.75,62356.02,719,1,0
33301.04,20739.47,4,6,1
5209.51,45039.74,272,0,0
51719.62,89339.32,296,0,0
92727.44,79111.74,6,6,1
11548.59,36930.6,921,2,0
23016.84,41336.13,242,0,0
53210.3,85437.5,948,1,0
10770.62,29980.24,959,1,0
62667.59,44373.05,2,6,1
20136.41,36140.17,184,2,0
62589.89,58396.59,4,4,1
57074.55,53537.9,5,5,1
15238.29,87921.3,618,1,0
70830.83,38627.37,6,6,1
28077.71,15930.37,4,6,1
10942.14,96916.17,843,1,0
31582.27,63460.44,634,0,0
54514.49,97184.12,50,2,0
47496.11,97801.69,892,2,0
65532.44,97232.26,448,0,0
4881.91,14864.91,595,2,0
1238.89,9330.09,376,0,0
4643.17,15178.12,969,2,0
11792.85,48627.43,628,1,0
25835.84,46654.92,360,2,0
16997.58,9068.01,6,4,1
37986.41,81231.48,646,2,0
36246.12,98602.1,950,0,0
37806.78,86922.69,400,2,0
135224.5,76354.28,6,3,1
7593.84,23389.69,664,2,0
38976.83,61324.07,233,2,0
48426.26,91482.86,57,0,0
137941.05,97001.83,3,5,1
8027.76,38011.49,218,0,0
44412.69,91958.09,915,2,0
9306.37,48069.91,407,0,0
6012.16,60106.38,652,0,0
11121.76,44812.04,424,1,0
17193.98,37988.04,236,1,0
36973.43,25711.01,8,4,1
50816.22,96536.18,964,0,0
3250.17,11649.23,515,1,0
44714.26,22376.62,9,5,1
2339.89,19344.81,859,2,0
6852.48,15696.36,367,2,0
8908.14,53783.56,505,2,0
5137.18,25513.1,461,0,0
4662.67,13773.59,659,0,0
16612.05,35235.31,558,1,0
20534.87,14471.65,5,5,1
16675.98,40699.51,933,1,0
58036.43,98114.39,37,0,0
18400.45,45147.84,416,0,0
18428.34,73476.57,76,0,0
80695.48,40700.05,10,3,1
37046.15,69297.89,188,2,0
23523.28,64477.12,490,0,0
19211.72,64822.5,184,0,0
73535.58,43996.36,1,4,1
9448.44,14895.27,478,2,0
28626.21,77308.4,995,1,0
15655.12,28229.64,442,2,0
6679.73,12641.52,609,2,0
11488.55,37249.99,820,1,0
44921.3,72987.85,989,1,0
59713.98,97508.1,851,0,0
43622.83,66774.17,53,0,0
22093.41,72054.5,185,0,0
6114.25,60511.16,52,1,0
28485.2,41910.31,200,0,0
36057.58,70455.66,698,0,0
35722.06,73764.96,670,2,0
7761.43,16343.93,217,1,0
13081.69,46731.72,94,0,0
16204.34,53394.33,711,0,0
7216.42,11342.9,648,1,0
26630.05,67985.24,53,0,0
39170.34,78407.67,84,2,0
10656.52,54132.11,577,2,0
21649.6,16424.19,9,6,1
17082.71,59832.93,774,0,0
6933.63,22538.5,529,0,0
20361.49,42968.06,935,0,0
1516.84,8423.35,330,2,0
7387.1,46330.73,359,1,0
25486.38,83541.44,598,2,0
18983.71,66128.81,491,1,0
49664.96,31550.11,6,3,1
9348.94,72313.27,528,1,0
4162.8,17990.0,547,1,0
41118.27,63766.5,700,0,0
43577.56,83610.43,761,2,0
24520.98,62686.21,388,0,0
36804.4,90017.69,381,2,0
46097.33,74600.19,470,1,0
107133.16,64015.0,6,3,1
20417.03,39147.14,339,1,0
18275.46,34750.23,694,2,0
14527.4,42486.15,673,1,0
7512.05,26651.42,154,1,0
18375.17,27770.38,988,0,0
22579.32,94829.31,273,2,0
127319.56,98558.63,4,3,1
29429.58,43954.66,148,1,0
46402.15,81191.2,128,2,0
23056.67,79248.83,197,1,0
7033.69,10485.37,322,2,0
21030.36,51433.3,869,2,0
34514.58,81994.07,412,2,0
15307.46,35853.86,286,1,0
34554.08,49587.01,907,2,0
3202.22,22278.97,336,0,0
5689.57,32151.88,707,1,0
94340.6,49432.0,2,5,1
3166.33,19110.58,641,2,0
24066.41,93036.14,985,1,0
40559.05,66938.41,318,1,0
180900.45,99999.32,5,5,1
5180.18,24966.7,234,0,0
4780.04,23748.07,348,2,0
94361.69,62541.12,3,6,1
4011.12,14271.22,744,1,0
18377.06,72823.33,502,1,0
9726.58,18205.73,627,1,0
7707.13,17315.06,776,0,0
134082.45,92350.04,7,3,1
66647.1,49687.68,6,6,1
19690.43,58764.73,772,2,0
55318.39,88611.92,686,1,0
33310.91,64192.06,203,2,0
10228.97,34025.97,149,0,0
83299.8,64158.37,7,5,1
8384.06,20903.41,813,1,0
14198.85,58582.49,392,1,0
26216.94,71551.61,454,1,0
19055.92,49442.01,84,2,0
16301.84,45211.83,772,1,0
87483.52,60606.66,9,6,1
21603.12,35448.63,183,1,0
35135.74,63422.13,800,1,0
35058.75,17788.63,9,4,1
30449.28,16684.56,2,6,1
5957.37,47938.49,237,2,0
27696.91,46308.21,113,0,0
55274.49,96969.39,684,1,0
100323.17,76427.92,6,4,1
40336.28,63525.96,831,0,0
8382.65,6558.25,10,4,1
32426.37,64219.84,426,1,0
14763.44,13887.93,10,3,1
10846.9,7301.34,1,6,1
6919.37,11100.09,904,1,0
170711.55,85991.98,4,3,1
23099.18,46910.08,363,0,0
10014.44,43314.25,156,0,0
2438.13,8024.25,533,2,0
3378.49,8031.18,683,1,0
11283.94,5906.05,4,6,1
93416.65,76330.61,6,4,1
12826.24,47630.76,434,0,0
14035.33,46026.06,570,0,0
27412.62,61521.4,443,0,0
10507.08,8424.63,3,4,1
25410.34,57413.66,832,0,0
31330.66,51912.07,620,1,0
28421.92,87565.54,687,1,0
27895.76,74914.42,165,2,0
14058.12,90750.26,972,2,0
6814.37,19882.05,471,1,0
9581.36,17157.05,431,0,0
3160.65,6751.06,498,0,0
23909.88,61483.71,195,2,0
52842.5,92967.45,630,2,0
26606.01,83503.47,354,1,0
7394.21,39071.5,947,0,0
90827.24,47708.53,2,4,1
22533.01,71816.72,586,1,0
37578.66,53977.47,378,1,0
18502.76,53703.38,138,2,0
66583.79,44922.61,7,3,1
9232.16,15829.22,523,0,0
88336.0,75382.74,10,4,1
22350.84,97140.88,516,2,0
29692.43,83509.92,760,1,0
105295.56,78277.78,8,5,1
59972.5,32541.36,1,6,1
59166.11,46802.27,1,5,1
7100.55,58806.13,207,1,0
19516.91,62416.86,592,1,0
53079.56,77150.36,237,0,0
23947.05,64237.81,219,1,0
11846.44,29792.27,215,0,0
12074.55,21482.79,180,2,0
55238.64,45831.56,7,4,1
17847.28,74448.08,375,2,0
40830.14,70848.2,902,0,0
32221.89,60544.76,294,0,0
10736.82,44006.29,373,1,0
136653.54,84203.22,8,3,1
20986.61,68242.49,550,2,0
65219.17,98441.89,239,1,0
12247.15,8004.03,10,6,1
10984.85,21403.07,123,1,0
100280.35,57804.02,5,6,1
129228.64,73196.84,10,3,1
27241.09,49217.02,527,1,0
44938.08,30196.35,7,3,1
47276.92,25234.41,9,3,1
30897.09,21819.57,6,5,1
8761.45,19242.62,626,2,0
42434.23,27807.56,3,5,1
56575.57,92724.86,91,2,0
12100.77,87178.23,57,1,0
19018.58,65179.99,72,1,0
31465.35,88971.51,257,0,0
21635.61,39594.25,887,2,0
52571.03,76343.84,613,2,0
5029.59,26913.19,66,2,0
74025.26,65596.68,7,6,1
17836.2,13118.95,1,5,1
15010.63,44903.03,876,1,0
5222.28,11062.78,474,2,0
3786.7,5981.4,642,2,0
35860.04,86082.31,361,2,0
34696.56,79930.27,681,0,0
24318.37,35748.02,217,0,0
6553.46,65450.07,752,0,0
17996.45,59696.29,123,0,0
47491.74,27764.62,9,6,1
25124.2,56089.05,75,0,0
34800.65,55388.35,773,1,0
1061.71,9292.13,66,0,0
40173.83,77230.19,325,2,0
14474.32,55241.55,108,0,0
138556.37,71447.87,3,6,1
10626.14,5832.5,7,4,1
44017.51,29648.04,7,4,1
51515.59,96543.91,950,2,0
56807.18,29083.1,3,3,1
1044.11,9591.47,325,2,0
20091.67,57224.87,199,0,0
127111.94,90450.25,9,6,1
21778.81,49089.0,362,1,0
31838.99,66575.38,748,0,0
116372.96,70004.45,9,5,1
11919.44,34944.48,296,2,0
9857.56,79536.11,708,0,0
20115.22,62549.92,49,0,0
133775.56,76741.21,5,4,1
35166.45,77281.48,647,2,0
11624.16,18396.29,987,2,0
36536.18,77650.81,681,2,0
3442.69,28448.1,420,0,0
38110.09,33588.09,9,4,1
3934.43,20935.56,619,1,0
31004.74,18167.08,7,6,1
30678.32,60632.01,495,0,0
3423.19,11649.28,241,1,0
92753.66,54376.23,2,5,1
4423.92,25876.5,300,2,0
9790.39,73824.08,281,1,0
13558.73,59420.33,262,2,0
11921.82,21622.32,65,2,0
39174.14,34808.11,2,5,1
105539.48,57218.68,10,4,1
25206.78,81460.54,580,2,0
7153.39,15587.16,386,2,0
36224.89,98765.72,938,0,0
13125.46,46792.72,787,0,0
114341.47,98768.73,10,4,1
20354.24,39341.55,554,2,0
25509.72,47762.21,808,2,0
8595.45,20879.96,348,0,0
10277.87,26119.54,377,1,0
10238.04,59285.79,306,1,0
108095.86,60123.47,8,4,1
6018.7,59574.56,834,1,0
40538.27,82406.09,282,0,0
9162.34,13221.47,677,1,0
38469.66,87270.27,370,1,0
28244.06,49797.07,200,1,0
12804.99,58228.67,384,0,0
5197.23,17729.71,107,1,0
28929.26,84151.68,540,2,0
12485.86,22586.96,336,2,0
14236.8,58463.98,719,0,0
7314.56,51782.53,381,1,0
61133.44,95741.98,323,2,0
14308.07,44848.64,153,2,0
6269.07,16910.43,863,0,0
20737.94,47999.31,787,2,0
12825.98,56716.82,493,0,0
46616.24,75138.35,92,1,0
16820.76,41265.98,704,0,0
43893.83,37456.45,1,5,1
24027.37,89607.4,444,1,0
6180.85,15365.64,812,0,0
32130.01,16445.78,6,6,1
9447.16,17260.49,285,1,0
30610.94,70254.35,453,2,0
137493.65,81387.07,9,6,1
56590.54,92813.87,413,0,0
69968.97,42432.71,2,4,1
57275.9,95850.65,99,1,0
39968.08,95015.38,64,2,0
2038.0,17235.74,658,2,0
18006.5,55263.42,638,0,0
35338.69,63320.57,252,0,0
10186.0,95377.19,52,0,0
198024.64,99986.37,2,5,1
18559.6,11806.01,8,3,1
125580.55,64808.51,7,6,1
48209.17,72828.08,780,2,0
8422.57,21157.55,51,1,0
31694.46,51512.53,581,2,0
22812.89,33226.58,258,2,0
20525.79,85102.74,531,0,0
30363.71,53602.04,1000,1,0
7531.09,35322.29,682,0,0
140755.94,80804.65,7,4,1
14534.63,63069.24,510,1,0
13610.37,21712.05,271,1,0
57668.25,96301.69,384,0,0
144851.0,99191.56,9,5,1
2719.89,6784.08,186,0,0
29938.58,91912.27,790,1,0
8729.61,12706.84,757,2,0
11703.3,83401.51,706,0,0
94388.92,87031.01,2,5,1
109374.31,62754.98,6,6,1
20236.03,69043.57,306,0,0
139447.31,85674.75,3,5,1
1371.93,5713.1,534,2,0
6392.89,10019.76,51,2,0
53927.9,83903.51,896,2,0
2788.05,22676.01,908,2,0
44457.38,74646.65,253,2,0
27407.68,24421.52,8,3,1
30243.5,74258.07,177,0,0
32280.63,67395.06,204,1,0
38417.2,24230.49,10,4,1
119523.64,97373.81,3,5,1
13104.51,27460.96,865,2,0
15819.73,32597.82,109,2,0
10994.9,80709.02,317,2,0
5385.74,37953.16,723,2,0
23458.7,15888.19,8,3,1
82234.54,46673.46,8,5,1
17455.73,60237.91,574,0,0
52225.07,91325.59,686,1,0
17126.55,10696.0,6,5,1
118414.15,86812.2,9,5,1
13832.4,59370.82,848,1,0
17564.76,69841.72,236,2,0
10845.31,38145.94,492,0,0
41326.31,71152.36,303,1,0
31411.71,73518.06,243,0,0
12027.29,50106.38,831,0,0
26607.88,52327.88,743,2,0
146250.13,91012.61,4,3,1
64821.02,34677.29,5,3,1
19793.99,37641.25,237,0,0
166354.72,93500.4,3,5,1
3808.99,35523.61,809,1,0
26815.27,58747.99,149,0,0
2414.43,5591.21,146,2,0
132914.04,85749.22,6,5,1
17270.8,11733.07,6,3,1
34136.61,78057.56,834,2,0
36546.51,76041.18,31,1,0
22226.19,69799.06,285,2,0
37821.92,25643.15,10,5,1
43625.08,70444.63,144,0,0
10577.89,97236.21,887,1,0
26684.71,58667.38,914,0,0
5988.98,52265.66,192,2,0
81621.93,79309.86,9,6,1
10721.77,56777.31,738,1,0
20117.66,58127.97,137,2,0
4111.67,21782.95,495,0,0
66720.52,57234.35,5,4,1
11043.79,70303.23,417,2,0
8311.24,75938.64,989,0,0
10587.92,53274.2,478,2,0
112791.36,95596.79,9,4,1
10092.49,39311.55,399,0,0
41352.53,27561.4,7,4,1
33209.17,68546.94,361,0,0
32989.4,67517.86,775,2,0
3264.16,5654.97,521,1,0
5371.08,44557.86,145,1,0
5024.0,34187.55,326,0,0
11394.53,7698.65,9,3,1
9418.01,41279.67,289,2,0
65265.59,99952.07,843,1,0
9129.8,48613.42,999,2,0
21886.7,61527.25,863,2,0
2761.79,6342.79,198,0,0
40246.38,58003.68,1000,1,0
1559.3,8998.38,30,1,0
60788.96,41212.85,10,4,1
10670.98,66265.46,290,1,0
177377.44,96453.77,10,3,1
14766.79,67541.3,305,2,0
12976.05,85145.28,642,2,0
11192.48,33950.81,949,2,0
2966.76,27218.9,441,0,0
25539.43,50434.51,677,2,0
31394.05,58309.51,922,2,0
6733.47,27637.37,756,2,0
67776.23,56178.44,1,6,1
14381.41,55530.61,930,1,0
17279.09,60423.41,872,2,0
11422.71,6216.9,7,3,1
117255.17,84876.03,10,3,1
16275.61,75528.42,538,2,0
19774.91,31092.15,248,0,0
12552.78,34069.28,423,2,0
104980.96,93446.92,7,6,1
23702.68,42558.38,827,0,0
5967.2,59497.14,834,0,0
16674.0,63424.46,973,2,0
30056.25,24648.13,4,6,1
44820.99,28316.76,1,4,1
43651.78,85953.76,506,1,0
94633.93,54172.97,1,5,1
25629.86,72883.97,656,1,0
6703.48,25255.2,685,0,0
20803.91,16439.06,3,5,1
157062.61,93238.55,2,4,1
27667.86,62241.76,826,0,0
56768.25,47191.63,4,3,1
16362.76,12473.19,7,3,1
13793.41,20351.01,197,1,0
20787.67,37559.71,949,2,0
64508.18,36942.0,7,6,1
21123.31,73510.81,831,1,0
24996.34,19754.86,5,5,1
59511.18,86304.73,994,2,0
22234.91,86763.4,731,0,0
26898.23,77818.81,629,2,0
89359.91,78662.7,5,6,1
63411.2,44967.2,8,4,1
15852.57,14077.13,9,6,1
18671.53,85958.14,261,1,0
13536.71,63246.69,658,2,0
83630.31,50091.01,8,6,1
14109.81,44261.82,111,1,0
5920.42,46141.59,698,0,0
4138.6,29838.9,984,2,0
4725.16,7210.93,165,2,0
3502.22,13929.19,779,1,0
19953.4,28651.9,970,2,0
12345.46,29075.8,440,1,0
33261.49,85195.95,266,0,0
26621.01,68877.78,964,0,0
7509.47,11956.04,236,0,0
88466.1,58315.18,9,4,1
24313.37,76814.17,702,0,0
3851.61,12884.4,734,2,0
40968.5,61035.11,804,1,0
13409.22,7316.31,10,4,1
21522.57,20120.13,5,4,1
14989.68,85682.49,973,1,0
19751.46,52469.74,391,1,0
9245.23,70452.45,806,0,0
18060.5,91871.91,853,1,0
7800.01,24369.19,727,0,0
23253.52,62285.83,574,1,0
3644.86,25348.53,697,2,0
123879.52,62052.22,1,3,1
48284.29,33040.11,9,5,1
52798.33,83283.29,252,1,0
15760.14,23877.3,949,0,0
115659.74,91439.74,6,3,1
27837.81,72033.67,58,0,0
10451.97,28492.48,955,0,0
14145.82,61078.76,981,0,0
90742.63,75266.56,1,6,1
20097.79,77601.73,208,0,0
11620.05,37089.3,727,0,0
20360.4,35205.05,650,1,0
57482.13,90367.11,551,1,0
28988.28,83682.2,158,0,0
5515.24,8942.4,48,1,0
5897.18,54531.49,678,0,0
18235.51,35391.38,393,1,0
15513.7,49739.02,211,1,0
69636.89,35197.38,4,6,1
22849.6,51170.39,62,0,0
6411.14,61634.26,235,0,0
36912.35,32377.95,2,6,1
2939.01,23326.83,985,1,0
4864.49,42334.29,408,2,0
33910.23,26670.86,1,5,1
9727.68,82697.37,483,2,0
138024.41,93451.97,3,5,1
13957.21,82374.61,32,0,0
42062.04,85060.51,195,0,0
8414.87,27321.36,644,0,0
21759.64,67390.86,644,2,0
163713.42,94684.4,7,6,1
164481.39,97293.92,5,3,1
80849.4,63988.82,3,3,1
34785.02,61125.17,319,2,0
13581.94,23444.87,774,1,0
42798.55,76979.67,585,0,0
42568.04,76708.51,575,2,0
