claim_id,policy_id,customer_id,claim_type,incident_date,claim_amount,status,fraud_score,surveyor_id,premium_amount,policy_start_date,kyc_status
95,8901,8563,Health Claim,2025-08-01,35827.26,PENDING,0,79,33014.55,2023-11-19,VERIFIED
96,14792,681,Life Claim,2025-12-12,24899.22,APPROVED,0,10,38754.2,2026-04-11,PENDING
97,23209,7971,Life Claim,2025-11-05,22276.33,REJECTED,0,24,39050.21,2023-12-05,VERIFIED
98,4001,3636,Property Damage,2026-01-02,10577.84,PENDING,0,88,24944.32,2026-05-09,PENDING
99,7277,6388,Motor Accident,2025-11-21,19873.47,APPROVED,0,85,10687.43,2024-10-25,PENDING
100,11023,3093,Health Claim,2026-05-13,36249.87,REJECTED,0,5,68646.0,2023-09-26,VERIFIED
101,7926,6878,Motor Accident,2026-03-25,90704.5,APPROVED,0,14,67132.45,2023-05-26,PENDING
102,12952,1319,Life Claim,2025-07-29,135982.63,APPROVED,0,21,81990.97,2023-11-18,PENDING
103,24078,4096,Property Damage,2025-09-10,6818.69,REJECTED,0,86,49981.68,2024-03-15,VERIFIED
104,19495,8903,Life Claim,2025-06-30,63614.04,REJECTED,0,19,44217.11,2024-03-13,PENDING
105,24779,1695,Health Claim,2026-02-03,8297.91,PENDING,0,14,24729.67,2023-09-20,VERIFIED
106,5450,2765,Motor Accident,2025-08-24,39843.64,REJECTED,0,10,64039.09,2025-07-19,PENDING
107,19344,9058,Life Claim,2025-06-19,25652.6,PENDING,0,47,39469.13,2024-02-29,VERIFIED
108,8908,8214,Health Claim,2026-02-17,31746.51,PENDING,0,81,27836.89,2026-04-05,PENDING
109,9052,1775,Property Damage,2026-01-08,12639.13,PENDING,0,75,10030.37,2023-09-12,VERIFIED
110,2333,1053,Health Claim,2026-01-06,27021.11,PENDING,0,55,61807.1,2025-02-25,PENDING
111,4840,953,Health Claim,2025-07-30,33864.64,REJECTED,0,19,56504.98,2025-11-10,PENDING
112,17409,4809,Motor Accident,2026-03-30,19266.92,PENDING,0,29,73896.56,2023-11-21,VERIFIED
113,5922,3911,Motor Accident,2026-02-26,30794.92,APPROVED,0,100,16916.36,2025-12-12,PENDING
114,8821,461,Property Damage,2026-05-19,17010.97,REJECTED,0,55,79550.38,2023-06-22,VERIFIED
115,4998,5382,Property Damage,2025-06-29,1934.86,APPROVED,0,56,10081.99,2025-05-09,VERIFIED
116,10834,9705,Life Claim,2025-07-09,7551.04,PENDING,0,14,53897.64,2024-03-27,VERIFIED
117,22502,7951,Property Damage,2025-09-21,24312.62,APPROVED,0,80,85252.18,2026-04-15,PENDING
118,6118,3180,Health Claim,2025-08-16,109976.18,PENDING,0,4,67158.22,2025-11-17,VERIFIED
119,15417,7540,Property Damage,2025-10-26,44600.37,APPROVED,0,39,74494.0,2024-07-19,VERIFIED
120,11635,4688,Motor Accident,2025-06-23,9444.84,REJECTED,0,15,74174.29,2025-09-28,PENDING
121,14225,2769,Life Claim,2025-08-01,72880.72,REJECTED,0,14,53289.03,2024-09-27,PENDING
122,16716,6695,Life Claim,2026-03-21,41996.66,APPROVED,0,54,74108.18,2024-03-24,VERIFIED
123,1695,2194,Motor Accident,2026-01-21,23396.24,PENDING,0,69,15450.13,2023-09-23,PENDING
124,22130,100,Property Damage,2025-09-02,43361.48,REJECTED,0,17,82011.42,2023-08-17,VERIFIED
125,19797,4449,Motor Accident,2026-01-22,51463.73,APPROVED,0,15,48180.52,2023-08-25,VERIFIED
126,23942,8659,Motor Accident,2026-04-06,18207.02,PENDING,0,42,37574.9,2024-07-08,VERIFIED
127,4328,2718,Life Claim,2025-09-04,27022.01,REJECTED,0,10,42964.83,2024-09-18,VERIFIED
128,18024,6408,Property Damage,2026-04-28,14281.05,PENDING,0,68,52642.43,2024-08-11,PENDING
129,7493,5816,Life Claim,2026-03-02,28714.88,PENDING,0,10,74271.14,2024-06-30,PENDING
130,7789,5814,Health Claim,2025-08-04,7063.6,REJECTED,0,11,64852.85,2024-11-29,PENDING
131,24503,4354,Property Damage,2025-08-26,33022.75,APPROVED,0,63,86604.77,2023-06-16,VERIFIED
132,23708,9842,Property Damage,2026-01-10,83366.6,PENDING,0,59,46085.81,2024-02-09,PENDING
133,5756,9175,Motor Accident,2025-12-24,27332.63,APPROVED,0,69,56742.3,2023-12-01,PENDING
134,1906,7748,Property Damage,2025-09-07,41369.78,PENDING,0,16,87184.99,2024-11-07,PENDING
135,15146,4678,Health Claim,2026-01-14,20824.28,PENDING,0,39,54499.98,2024-08-03,VERIFIED
136,8860,1812,Life Claim,2025-06-07,96609.85,PENDING,0,35,82760.55,2023-06-17,PENDING
137,1521,3352,Property Damage,2026-01-02,2129.5,PENDING,0,66,9820.58,2024-04-26,VERIFIED
138,16276,2028,Health Claim,2025-12-30,26087.51,PENDING,0,23,45767.7,2024-07-09,PENDING
139,1288,4257,Motor Accident,2025-10-04,19698.24,APPROVED,0,21,69248.12,2024-01-10,PENDING
140,23955,7814,Motor Accident,2025-08-24,4443.09,PENDING,0,100,9077.5,2023-11-24,VERIFIED
141,896,4303,Health Claim,2025-12-01,15694.63,PENDING,0,48,99940.06,2023-07-01,VERIFIED
142,987,8837,Health Claim,2025-06-06,32442.6,APPROVED,0,51,82511.87,2025-05-09,VERIFIED
143,11619,9394,Life Claim,2026-04-27,16327.21,APPROVED,0,78,83513.28,2026-03-07,VERIFIED
144,8192,1480,Motor Accident,2025-10-28,24912.74,PENDING,0,48,53606.43,2025-03-31,VERIFIED
145,18971,5344,Life Claim,2025-10-06,38098.76,APPROVED,0,67,69410.5,2024-11-13,VERIFIED
146,19017,1480,Property Damage,2025-07-05,57910.36,APPROVED,0,46,89928.16,2023-11-04,PENDING
147,8694,2612,Life Claim,2026-04-05,1084.37,APPROVED,0,5,7904.09,2023-07-06,VERIFIED
148,15392,5409,Life Claim,2026-02-02,28355.39,APPROVED,0,20,52123.19,2025-02-26,VERIFIED
149,12004,1045,Property Damage,2026-02-03,51104.19,REJECTED,0,1,84989.78,2025-05-07,VERIFIED
150,8636,6382,Health Claim,2026-04-26,14436.92,APPROVED,0,1,30256.36,2023-11-10,PENDING
151,23991,9262,Health Claim,2025-05-28,10958.11,APPROVED,0,14,76249.61,2025-08-14,VERIFIED
152,337,2896,Life Claim,2025-08-02,29268.92,PENDING,0,94,95119.64,2025-12-10,PENDING
153,23993,9569,Life Claim,2026-01-16,5107.72,PENDING,0,3,40600.79,2025-10-29,VERIFIED
154,1817,7587,Life Claim,2025-07-01,34322.17,APPROVED,0,5,65503.65,2026-02-28,PENDING
155,4556,6484,Motor Accident,2026-04-08,109944.26,APPROVED,0,37,94138.24,2023-05-28,PENDING
156,12193,3384,Motor Accident,2025-06-25,7259.24,APPROVED,0,75,25819.39,2025-06-04,PENDING
157,11715,405,Property Damage,2025-11-15,2420.57,REJECTED,0,49,11023.32,2025-11-09,VERIFIED
158,13202,3375,Motor Accident,2025-08-20,51303.5,PENDING,0,75,81092.74,2025-12-27,VERIFIED
159,7686,3968,Life Claim,2025-10-20,90323.11,APPROVED,0,1,64103.3,2024-12-09,VERIFIED
160,9046,7521,Health Claim,2025-11-20,50809.63,REJECTED,0,84,87579.04,2025-10-22,PENDING
161,17995,3702,Health Claim,2026-04-20,43433.7,REJECTED,0,70,84494.93,2025-01-04,PENDING
162,19682,889,Property Damage,2026-04-20,5350.28,REJECTED,0,49,11666.58,2025-01-13,VERIFIED
163,21526,3443,Health Claim,2025-06-01,92704.7,PENDING,0,85,84956.33,2024-01-08,PENDING
164,1356,8618,Property Damage,2026-04-28,3816.98,REJECTED,0,80,11742.63,2023-12-12,PENDING
165,12310,8751,Property Damage,2025-09-09,155017.13,REJECTED,0,7,79995.05,2024-08-23,PENDING
166,22490,9863,Motor Accident,2025-12-24,22906.09,PENDING,0,29,49047.63,2025-11-05,PENDING
167,5556,3221,Health Claim,2026-02-26,41316.61,APPROVED,0,38,60720.11,2024-06-09,VERIFIED
168,23303,6546,Health Claim,2026-04-28,25213.73,REJECTED,0,70,21126.63,2024-08-14,PENDING
169,70,9139,Life Claim,2025-07-16,12024.66,PENDING,0,95,23220.45,2026-02-18,PENDING
170,11242,9849,Motor Accident,2026-01-06,33991.18,APPROVED,0,34,28162.78,2023-07-06,PENDING
171,14446,8035,Motor Accident,2026-03-07,26889.91,REJECTED,0,92,82311.58,2026-01-28,PENDING
172,17287,1314,Motor Accident,2026-03-14,8873.84,APPROVED,0,19,56836.48,2025-05-06,VERIFIED
173,24252,2028,Property Damage,2026-04-21,23164.48,REJECTED,0,48,52855.31,2025-05-26,VERIFIED
174,9592,6316,Property Damage,2025-12-08,22978.51,REJECTED,0,100,12990.96,2025-11-11,VERIFIED
175,24363,3728,Health Claim,2025-06-16,29990.9,APPROVED,0,74,52584.89,2025-01-26,VERIFIED
176,5654,3145,Life Claim,2025-11-02,4942.44,REJECTED,0,45,13618.61,2026-05-03,PENDING
177,15300,499,Property Damage,2025-11-20,40753.64,PENDING,0,56,36083.48,2024-11-14,PENDING
178,24668,9465,Health Claim,2025-06-04,149721.48,REJECTED,0,49,90223.91,2024-03-19,PENDING
179,15674,1719,Property Damage,2025-09-25,2482.01,PENDING,0,72,9494.78,2026-03-04,VERIFIED
180,4633,2960,Property Damage,2025-12-31,37012.24,REJECTED,0,29,77584.54,2025-08-26,PENDING
181,13381,1086,Motor Accident,2025-11-16,17133.48,APPROVED,0,52,40039.94,2024-10-13,PENDING
182,20187,4303,Life Claim,2025-09-28,42774.57,REJECTED,0,83,96032.9,2024-05-31,VERIFIED
183,7539,6812,Health Claim,2026-01-09,4690.61,REJECTED,0,4,10277.7,2024-01-05,VERIFIED
184,12580,9484,Life Claim,2026-03-27,104308.13,PENDING,0,95,66280.12,2023-11-14,VERIFIED
185,13814,4164,Motor Accident,2025-09-06,51815.45,PENDING,0,24,79003.07,2025-02-16,VERIFIED
186,4377,8303,Property Damage,2026-03-30,54788.89,REJECTED,0,18,86738.07,2024-11-26,VERIFIED
187,9100,8363,Life Claim,2026-01-05,38823.5,APPROVED,0,91,96873.31,2023-10-19,PENDING
188,18136,5336,Life Claim,2025-07-17,103027.85,PENDING,0,54,59373.19,2025-12-27,VERIFIED
189,28,168,Life Claim,2026-05-10,112320.44,APPROVED,0,60,76692.11,2023-08-14,PENDING
190,20237,660,Health Claim,2026-03-16,13717.98,APPROVED,0,28,21799.27,2025-07-25,VERIFIED
191,1025,5897,Motor Accident,2026-03-15,11009.52,PENDING,0,80,93516.73,2026-03-17,VERIFIED
192,5259,304,Life Claim,2026-01-13,83390.09,PENDING,0,77,54788.13,2025-01-31,VERIFIED
193,19705,9523,Health Claim,2025-06-26,29631.25,APPROVED,0,93,63777.05,2025-08-25,PENDING
194,20121,9298,Property Damage,2025-11-07,3810.11,APPROVED,0,69,8996.36,2025-01-03,PENDING
195,4999,5592,Property Damage,2025-06-16,34500.65,APPROVED,0,24,64067.41,2026-04-19,VERIFIED
196,5974,5283,Life Claim,2026-02-15,15899.65,REJECTED,0,31,22754.63,2023-09-24,PENDING
197,23004,2928,Property Damage,2026-02-08,34043.55,APPROVED,0,69,57731.69,2025-11-18,PENDING
198,22817,1946,Property Damage,2025-07-22,13967.78,REJECTED,0,7,62469.66,2024-02-11,PENDING
199,14191,6808,Motor Accident,2026-02-21,15454.19,REJECTED,0,89,38561.3,2025-05-08,PENDING
200,23551,4649,Life Claim,2026-04-06,13651.33,PENDING,0,73,20522.53,2023-11-13,PENDING
201,20733,666,Motor Accident,2026-04-19,40225.99,REJECTED,0,92,94908.05,2025-12-17,VERIFIED
202,12152,307,Motor Accident,2025-12-16,28658.67,REJECTED,0,11,66835.78,2024-01-04,VERIFIED
203,2049,1857,Motor Accident,2026-04-06,10800.3,APPROVED,0,46,15519.74,2023-09-10,VERIFIED
204,9114,9805,Life Claim,2025-09-29,9245.97,APPROVED,0,75,25604.09,2025-07-20,VERIFIED
205,14877,8806,Life Claim,2025-08-16,12921.7,REJECTED,0,66,25686.55,2026-03-27,VERIFIED
206,18735,708,Property Damage,2025-06-10,6048.34,APPROVED,0,88,27333.66,2024-02-25,PENDING
207,15411,5521,Property Damage,2025-12-02,4912.49,REJECTED,0,62,8305.02,2024-10-07,PENDING
208,4501,3104,Life Claim,2025-12-18,17598.79,REJECTED,0,31,48371.71,2025-04-26,PENDING
209,24436,3955,Health Claim,2026-03-28,15441.17,PENDING,0,57,62716.97,2023-07-13,PENDING
210,2381,710,Motor Accident,2025-08-03,51391.26,REJECTED,0,59,80451.88,2024-04-17,VERIFIED
211,15605,959,Health Claim,2025-11-23,4474.55,APPROVED,0,51,19921.75,2025-09-12,VERIFIED
212,24204,7614,Health Claim,2026-03-22,29347.21,REJECTED,0,78,22787.95,2023-09-03,PENDING
213,18441,8517,Health Claim,2025-12-08,158087.98,APPROVED,0,50,81216.4,2025-07-22,PENDING
214,21192,9141,Motor Accident,2026-04-05,13756.35,REJECTED,0,5,47990.8,2023-09-10,PENDING
215,18664,6944,Life Claim,2025-12-05,116350.03,PENDING,0,27,72613.07,2023-06-14,PENDING
216,3749,1308,Health Claim,2026-03-02,44022.56,PENDING,0,61,35141.65,2025-07-08,VERIFIED
217,8643,446,Property Damage,2025-06-17,11631.07,APPROVED,0,89,99007.19,2026-04-05,PENDING
218,983,4192,Life Claim,2025-12-21,89681.09,PENDING,0,35,55289.24,2025-05-01,PENDING
219,18903,8440,Health Claim,2026-04-09,8544.43,REJECTED,0,8,40162.73,2023-07-11,PENDING
220,19483,4883,Health Claim,2025-09-28,47815.09,PENDING,0,78,25482.25,2024-04-19,PENDING
221,16572,9830,Property Damage,2026-03-16,24120.57,REJECTED,0,51,45462.35,2024-06-05,VERIFIED
222,8383,8443,Life Claim,2026-02-04,10458.19,PENDING,0,94,19873.59,2024-02-19,VERIFIED
223,18117,5107,Health Claim,2025-06-27,15365.72,APPROVED,0,36,34926.69,2024-05-27,PENDING
224,19534,9045,Health Claim,2025-11-22,42819.86,REJECTED,0,1,25332.81,2024-06-23,PENDING
225,5529,3242,Health Claim,2025-08-05,82912.65,PENDING,0,96,80005.94,2025-11-03,VERIFIED
226,12152,7572,Life Claim,2025-12-11,15629.94,REJECTED,0,8,24754.73,2024-05-04,PENDING
227,2709,5573,Health Claim,2025-11-20,105859.65,REJECTED,0,7,92786.84,2025-09-16,PENDING
228,5116,3659,Property Damage,2026-02-09,24024.45,REJECTED,0,73,48584.79,2025-09-20,VERIFIED
229,9100,6939,Motor Accident,2025-11-25,4015.39,PENDING,0,4,18223.57,2024-09-05,PENDING
230,20411,1636,Property Damage,2025-11-24,7598.1,REJECTED,0,82,70797.68,2025-04-07,PENDING
231,2630,4629,Life Claim,2026-04-09,95397.82,REJECTED,0,3,85143.0,2025-01-13,VERIFIED
232,1751,7359,Life Claim,2025-06-22,7411.8,PENDING,0,7,7085.35,2024-12-15,PENDING
233,17562,9835,Property Damage,2025-07-28,12002.91,PENDING,0,92,71732.38,2025-08-08,VERIFIED
234,871,1526,Property Damage,2025-07-29,154898.4,REJECTED,0,89,81465.28,2023-07-28,PENDING
235,40,2335,Motor Accident,2026-01-20,4851.23,PENDING,0,56,8266.6,2023-10-19,PENDING
236,22455,6213,Life Claim,2025-07-20,34367.03,PENDING,0,92,19936.0,2023-10-05,VERIFIED
237,11145,8418,Life Claim,2026-02-01,41382.18,APPROVED,0,41,25844.08,2023-08-05,VERIFIED
238,24109,6567,Health Claim,2025-10-20,33653.86,APPROVED,0,67,71959.36,2026-02-10,VERIFIED
239,4833,148,Health Claim,2025-11-04,78512.45,PENDING,0,9,71523.79,2026-04-08,VERIFIED
240,13072,7702,Life Claim,2025-09-03,6914.52,PENDING,0,3,11508.62,2025-12-12,VERIFIED
241,3293,2584,Property Damage,2025-08-01,34709.43,APPROVED,0,73,70102.71,2024-05-12,VERIFIED
242,15059,6682,Motor Accident,2026-01-21,5087.88,PENDING,0,60,9884.27,2023-08-22,PENDING
243,15391,6748,Health Claim,2026-02-01,13357.3,APPROVED,0,96,55001.18,2025-04-21,VERIFIED
244,18626,8772,Property Damage,2026-01-31,14013.65,APPROVED,0,74,86734.72,2025-08-27,PENDING
245,5408,6399,Health Claim,2025-06-28,7230.2,PENDING,0,55,18514.13,2023-07-24,PENDING
246,2391,1995,Motor Accident,2026-01-04,23580.64,REJECTED,0,32,84676.68,2023-09-25,PENDING
247,15372,5536,Property Damage,2025-06-02,2580.17,REJECTED,0,42,22855.85,2024-08-29,VERIFIED
248,17021,4814,Motor Accident,2025-08-02,6013.21,PENDING,0,70,11362.03,2024-10-13,VERIFIED
249,1419,6175,Motor Accident,2025-12-20,9185.48,APPROVED,0,19,17797.17,2025-11-13,PENDING
250,372,5996,Property Damage,2025-10-17,23297.6,REJECTED,0,6,23209.31,2024-02-20,VERIFIED
251,6371,9016,Life Claim,2026-03-18,34697.62,APPROVED,0,75,65990.5,2024-06-29,PENDING
252,16361,1349,Motor Accident,2026-04-10,32778.48,APPROVED,0,84,31910.82,2024-08-16,PENDING
253,7829,963,Life Claim,2026-03-02,39144.38,REJECTED,0,56,28269.69,2024-03-09,PENDING
254,5971,8675,Life Claim,2025-09-01,6081.9,PENDING,0,98,60179.63,2026-05-14,VERIFIED
255,10662,210,Health Claim,2026-03-01,16799.54,REJECTED,0,31,33191.45,2025-08-31,PENDING
256,22643,467,Life Claim,2026-01-18,5483.46,APPROVED,0,69,8506.47,2025-11-05,PENDING
257,17889,8734,Life Claim,2025-12-08,38352.27,APPROVED,0,74,24207.76,2024-06-06,VERIFIED
258,14715,3284,Motor Accident,2025-12-09,17867.45,APPROVED,0,38,56734.75,2025-10-02,VERIFIED
